Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
55,Male,Clothing,53,L,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
19,Male,Clothing,64,L,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
50,Male,Clothing,73,S,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
21,Male,Footwear,90,M,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
45,Male,Clothing,49,M,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
46,Male,Footwear,20,M,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
63,Male,Clothing,85,M,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
27,Male,Clothing,34,L,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
26,Male,Outerwear,97,L,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
57,Male,Accessories,31,M,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
53,Male,Footwear,34,L,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
30,Male,Clothing,68,S,Winter,4.9,Yes,Store Pickup,Yes,Yes,,Bank Transfer,Fortnightly
61,Male,Outerwear,210,M,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
65,Male,Clothing,51,M,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
64,Male,Outerwear,53,L,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
64,Male,Clothing,81,M,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
25,Male,Accessories,36,S,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
53,Male,Clothing,38,XL,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
